Username,Tanggal,Review,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
Hamdan Maher,10/02/2023,asyik indah bnget menacubkan,positif,"['asyik', 'indah', 'bnget', 'menacubkan']","['asyik', 'indah', 'bnget', 'menacubkan']","['asyik', 'indah', 'bnget', 'menacubkan']","['asyik', 'indah', 'bnget', 'menacubkan']","['asyik', 'indah', 'bnget', 'menacubkan']"
Eva Nianti,10/02/2023,mempesona,positif,['mempesona'],['mempesona'],['mempesona'],['mempesona'],['pesona']
Novi Lekwandi,10/02/2023,ke bromo sebaiknya jangan pas musim hujan  banyak view yg nggak bisa dinikmati   sunrise  kawah  langit biru dst,negatif,"['ke', 'bromo', 'sebaiknya', 'jangan', 'pas', 'musim', 'hujan', 'banyak', 'view', 'yg', 'nggak', 'bisa', 'dinikmati', 'sunrise', 'kawah', 'langit', 'biru', 'dst']","['ke', 'bromo', 'sebaiknya', 'jangan', 'pas', 'musim', 'hujan', 'banyak', 'view', 'yg', 'nggak', 'bisa', 'dinikmati', 'sunrise', 'kawah', 'langit', 'biru', 'dst']","['bromo', 'pas', 'musim', 'hujan', 'view', 'yg', 'nggak', 'dinikmati', 'sunrise', 'kawah', 'langit', 'biru', 'dst']","['bromo', 'pas', 'musim', 'hujan', 'view', 'yg', 'nggak', 'dinikmati', 'sunrise', 'kawah', 'langit', 'biru', 'dst']","['bromo', 'pas', 'musim', 'hujan', 'view', 'yg', 'nggak', 'nikmat', 'sunrise', 'kawah', 'langit', 'biru', 'dst']"
Isti Qomah,10/02/2023,baguss sekalii masyaallah,positif,"['baguss', 'sekalii', 'masyaallah']","['baguss', 'sekalii', 'masyaallah']","['baguss', 'sekalii', 'masyaallah']","['baguss', 'sekalii', 'masyaallah']","['baguss', 'sekali', 'masyaallah']"
Abdurrohman Rifai,10/02/2023,saya kesini pada tanggal    untuk tempatnya bagus tetapi masih ada pemilik kuda yang arrogant dan seenaknya sendiri  saran saya ketika berkunjung kesini diwaktu musim panas agar terlihat indahnya ciptaan sang maha kuasa,positif,"['saya', 'kesini', 'pada', 'tanggal', 'untuk', 'tempatnya', 'bagus', 'tetapi', 'masih', 'ada', 'pemilik', 'kuda', 'yang', 'arrogant', 'dan', 'seenaknya', 'sendiri', 'saran', 'saya', 'ketika', 'berkunjung', 'kesini', 'diwaktu', 'musim', 'panas', 'agar', 'terlihat', 'indahnya', 'ciptaan', 'sang', 'maha', 'kuasa']","['saya', 'kesini', 'pada', 'tanggal', 'untuk', 'tempatnya', 'bagus', 'tetapi', 'masih', 'ada', 'pemilik', 'kuda', 'yang', 'arrogant', 'dan', 'seenaknya', 'sendiri', 'saran', 'saya', 'ketika', 'berkunjung', 'kesini', 'diwaktu', 'musim', 'panas', 'agar', 'terlihat', 'indahnya', 'ciptaan', 'sang', 'maha', 'kuasa']","['kesini', 'tanggal', 'tempatnya', 'bagus', 'pemilik', 'kuda', 'arrogant', 'saran', 'berkunjung', 'kesini', 'diwaktu', 'musim', 'panas', 'indahnya', 'ciptaan', 'sang', 'maha', 'kuasa']","['kesini', 'tanggal', 'tempatnya', 'bagus', 'pemilik', 'kuda', 'arrogant', 'saran', 'berkunjung', 'kesini', 'diwaktu', 'musim', 'panas', 'indahnya', 'ciptaan', 'sang', 'maha', 'kuasa']","['kesini', 'tanggal', 'tempat', 'bagus', 'milik', 'kuda', 'arrogant', 'saran', 'kunjung', 'kesini', 'waktu', 'musim', 'panas', 'indah', 'cipta', 'sang', 'maha', 'kuasa']"
Ridho Faktur Rohman,10/02/2023,pertama smga bisa ksni lagi jauh  terbayar sudah dengan ke indahan bromo,positif,"['pertama', 'smga', 'bisa', 'ksni', 'lagi', 'jauh', 'terbayar', 'sudah', 'dengan', 'ke', 'indahan', 'bromo']","['pertama', 'smga', 'bisa', 'ksni', 'lagi', 'jauh', 'terbayar', 'sudah', 'dengan', 'ke', 'indahan', 'bromo']","['smga', 'ksni', 'terbayar', 'indahan', 'bromo']","['smga', 'ksni', 'terbayar', 'indahan', 'bromo']","['smga', 'ksni', 'bayar', 'indah', 'bromo']"
ate furian,10/02/2023,salah satu gunung terbaik untuk menyaksikan matahari terbit ,positif,"['salah', 'satu', 'gunung', 'terbaik', 'untuk', 'menyaksikan', 'matahari', 'terbit']","['salah', 'satu', 'gunung', 'terbaik', 'untuk', 'menyaksikan', 'matahari', 'terbit']","['salah', 'gunung', 'terbaik', 'menyaksikan', 'matahari', 'terbit']","['salah', 'gunung', 'terbaik', 'menyaksikan', 'matahari', 'terbit']","['salah', 'gunung', 'baik', 'saksi', 'matahari', 'terbit']"
صالح النملة,10/02/2023,puji tuhan,positif,"['puji', 'tuhan']","['puji', 'tuhan']","['puji', 'tuhan']","['puji', 'tuhan']","['puji', 'tuhan']"
BUFF TRAVELER,10/02/2023,salah satu pariwisata unggulan  di jawa timur bahkan indonesia  pengunjung lokal dan mancanegara ikut meramaikan  pemandangan beautiful mantul domm masyaallah,positif,"['salah', 'satu', 'pariwisata', 'unggulan', 'di', 'jawa', 'timur', 'bahkan', 'indonesia', 'pengunjung', 'lokal', 'dan', 'mancanegara', 'ikut', 'meramaikan', 'pemandangan', 'beautiful', 'mantul', 'domm', 'masyaallah']","['salah', 'satu', 'pariwisata', 'unggulan', 'di', 'jawa', 'timur', 'bahkan', 'indonesia', 'pengunjung', 'lokal', 'dan', 'mancanegara', 'ikut', 'meramaikan', 'pemandangan', 'beautiful', 'mantul', 'domm', 'masyaallah']","['salah', 'pariwisata', 'unggulan', 'jawa', 'timur', 'indonesia', 'pengunjung', 'lokal', 'mancanegara', 'meramaikan', 'pemandangan', 'beautiful', 'mantul', 'domm', 'masyaallah']","['salah', 'pariwisata', 'unggulan', 'jawa', 'timur', 'indonesia', 'pengunjung', 'lokal', 'mancanegara', 'meramaikan', 'pemandangan', 'beautiful', 'mantul', 'domm', 'masyaallah']","['salah', 'pariwisata', 'unggul', 'jawa', 'timur', 'indonesia', 'unjung', 'lokal', 'mancanegara', 'ramai', 'pandang', 'beautiful', 'mantul', 'domm', 'masyaallah']"
arief kurniawan,10/02/2023,pengelolalnya kurang profesional  padahal tempat begitu indah,negatif,"['pengelolalnya', 'kurang', 'profesional', 'padahal', 'tempat', 'begitu', 'indah']","['pengelolalnya', 'kurang', 'profesional', 'padahal', 'tempat', 'begitu', 'indah']","['pengelolalnya', 'profesional', 'indah']","['pengelolalnya', 'profesional', 'indah']","['pengelolalnya', 'profesional', 'indah']"
Muhammad Fahmi,10/02/2023,wisata bromo adalah tempat yang sangat bagus nan elok di kunjungi karna sangat indah dan suasananya yang dingin yang mungkin belum ada tempat yang seperti tempat ini  sangat rekomendasi bagi yang ingin menikmati keindahan alam    ,positif,"['wisata', 'bromo', 'adalah', 'tempat', 'yang', 'sangat', 'bagus', 'nan', 'elok', 'di', 'kunjungi', 'karna', 'sangat', 'indah', 'dan', 'suasananya', 'yang', 'dingin', 'yang', 'mungkin', 'belum', 'ada', 'tempat', 'yang', 'seperti', 'tempat', 'ini', 'sangat', 'rekomendasi', 'bagi', 'yang', 'ingin', 'menikmati', 'keindahan', 'alam']","['wisata', 'bromo', 'adalah', 'tempat', 'yang', 'sangat', 'bagus', 'nan', 'elok', 'di', 'kunjungi', 'karna', 'sangat', 'indah', 'dan', 'suasananya', 'yang', 'dingin', 'yang', 'mungkin', 'belum', 'ada', 'tempat', 'yang', 'seperti', 'tempat', 'ini', 'sangat', 'rekomendasi', 'bagi', 'yang', 'ingin', 'menikmati', 'keindahan', 'alam']","['wisata', 'bromo', 'bagus', 'nan', 'elok', 'kunjungi', 'karna', 'indah', 'suasananya', 'dingin', 'rekomendasi', 'menikmati', 'keindahan', 'alam']","['wisata', 'bromo', 'bagus', 'nan', 'elok', 'kunjungi', 'karna', 'indah', 'suasananya', 'dingin', 'rekomendasi', 'menikmati', 'keindahan', 'alam']","['wisata', 'bromo', 'bagus', 'nan', 'elok', 'kunjung', 'karna', 'indah', 'suasana', 'dingin', 'rekomendasi', 'nikmat', 'indah', 'alam']"
Momy Brian,10/02/2023,gunung terkeren,positif,"['gunung', 'terkeren']","['gunung', 'terkeren']","['gunung', 'terkeren']","['gunung', 'terkeren']","['gunung', 'keren']"
Amzar_ Sakh,10/02/2023,healing ke bromo naik jeep harga terjangkau tempat seperti kita berada di surga dunia  kata kata hanya pemanis  tapi kamu manis seperti gula  just kidding nikmati suasana alam yang subhanallah banget di bromo,positif,"['healing', 'ke', 'bromo', 'naik', 'jeep', 'harga', 'terjangkau', 'tempat', 'seperti', 'kita', 'berada', 'di', 'surga', 'dunia', 'kata', 'kata', 'hanya', 'pemanis', 'tapi', 'kamu', 'manis', 'seperti', 'gula', 'just', 'kidding', 'nikmati', 'suasana', 'alam', 'yang', 'subhanallah', 'banget', 'di', 'bromo']","['healing', 'ke', 'bromo', 'naik', 'jeep', 'harga', 'terjangkau', 'tempat', 'seperti', 'kita', 'berada', 'di', 'surga', 'dunia', 'kata', 'kata', 'hanya', 'pemanis', 'tapi', 'kamu', 'manis', 'seperti', 'gula', 'just', 'kidding', 'nikmati', 'suasana', 'alam', 'yang', 'subhanallah', 'banget', 'di', 'bromo']","['healing', 'bromo', 'jeep', 'harga', 'terjangkau', 'surga', 'dunia', 'pemanis', 'manis', 'gula', 'just', 'kidding', 'nikmati', 'suasana', 'alam', 'subhanallah', 'banget', 'bromo']","['healing', 'bromo', 'jeep', 'harga', 'terjangkau', 'surga', 'dunia', 'pemanis', 'manis', 'gula', 'just', 'kidding', 'nikmati', 'suasana', 'alam', 'subhanallah', 'banget', 'bromo']","['healing', 'bromo', 'jeep', 'harga', 'jangkau', 'surga', 'dunia', 'man', 'manis', 'gula', 'just', 'kidding', 'nikmat', 'suasana', 'alam', 'subhanallah', 'banget', 'bromo']"
Khalila Malika,10/02/2023,waw tempatnya  seru banget nyaman juga fasilitasnya banyak dan tersedia selalu  dinginn tapi menyenangkan  banyak tempat spot foto yg menarik suka sekali sama wisata yang satu ini apalagi saat sunset nyw itu juga baguss bangett,positif,"['waw', 'tempatnya', 'seru', 'banget', 'nyaman', 'juga', 'fasilitasnya', 'banyak', 'dan', 'tersedia', 'selalu', 'dinginn', 'tapi', 'menyenangkan', 'banyak', 'tempat', 'spot', 'foto', 'yg', 'menarik', 'suka', 'sekali', 'sama', 'wisata', 'yang', 'satu', 'ini', 'apalagi', 'saat', 'sunset', 'nyw', 'itu', 'juga', 'baguss', 'bangett']","['waw', 'tempatnya', 'seru', 'banget', 'nyaman', 'juga', 'fasilitasnya', 'banyak', 'dan', 'tersedia', 'selalu', 'dinginn', 'tapi', 'menyenangkan', 'banyak', 'tempat', 'spot', 'foto', 'yg', 'menarik', 'suka', 'sekali', 'sama', 'wisata', 'yang', 'satu', 'ini', 'apalagi', 'saat', 'sunset', 'nyw', 'itu', 'juga', 'baguss', 'bangett']","['waw', 'tempatnya', 'seru', 'banget', 'nyaman', 'fasilitasnya', 'tersedia', 'dinginn', 'menyenangkan', 'spot', 'foto', 'yg', 'menarik', 'suka', 'wisata', 'sunset', 'nyw', 'baguss', 'bangett']","['waw', 'tempatnya', 'seru', 'banget', 'nyaman', 'fasilitasnya', 'tersedia', 'dinginn', 'menyenangkan', 'spot', 'foto', 'yg', 'menarik', 'suka', 'wisata', 'sunset', 'nyw', 'baguss', 'bangett']","['waw', 'tempat', 'seru', 'banget', 'nyaman', 'fasilitas', 'sedia', 'dinginn', 'senang', 'spot', 'foto', 'yg', 'tarik', 'suka', 'wisata', 'sunset', 'nyw', 'baguss', 'bangett']"
Kang Danny Creator,10/02/2023,tempat yang keren,positif,"['tempat', 'yang', 'keren']","['tempat', 'yang', 'keren']",['keren'],['keren'],['keren']
Chandra Kurniawan,10/02/2023,finally bisa ramean kesini bareng temen temen  seru banget trip kemarin  next time semoga bisa kesini lagi,positif,"['finally', 'bisa', 'ramean', 'kesini', 'bareng', 'temen', 'temen', 'seru', 'banget', 'trip', 'kemarin', 'next', 'time', 'semoga', 'bisa', 'kesini', 'lagi']","['finally', 'bisa', 'ramean', 'kesini', 'bareng', 'temen', 'temen', 'seru', 'banget', 'trip', 'kemarin', 'next', 'time', 'semoga', 'bisa', 'kesini', 'lagi']","['finally', 'ramean', 'kesini', 'bareng', 'temen', 'temen', 'seru', 'banget', 'trip', 'kemarin', 'next', 'time', 'semoga', 'kesini']","['finally', 'ramean', 'kesini', 'bareng', 'temen', 'temen', 'seru', 'banget', 'trip', 'kemarin', 'next', 'time', 'semoga', 'kesini']","['finally', 'ramean', 'kesini', 'bareng', 'temen', 'temen', 'seru', 'banget', 'trip', 'kemarin', 'next', 'time', 'moga', 'kesini']"
Nirkuning,10/02/2023,dikirimin foto dan video sama teman  berharap suatu saat nanti bisa kesana bareng keluarga      ,positif,"['dikirimin', 'foto', 'dan', 'video', 'sama', 'teman', 'berharap', 'suatu', 'saat', 'nanti', 'bisa', 'kesana', 'bareng', 'keluarga']","['dikirimin', 'foto', 'dan', 'video', 'sama', 'teman', 'berharap', 'suatu', 'saat', 'nanti', 'bisa', 'kesana', 'bareng', 'keluarga']","['dikirimin', 'foto', 'video', 'teman', 'berharap', 'kesana', 'bareng', 'keluarga']","['dikirimin', 'foto', 'video', 'teman', 'berharap', 'kesana', 'bareng', 'keluarga']","['dikirimin', 'foto', 'video', 'teman', 'harap', 'kesana', 'bareng', 'keluarga']"
ADHAN BUGAWOH,10/02/2023,kecewa sama jasa sewa kudanya saya dapat perlakuan body shaming  mulai dari mau naik sampai diperjalanan pun hampir semua tukang kuda mengejek dengan bahasa lokal atau bahasa istilah  sungguh jadi pengalaman tidak menyenangkan    yang  ,negatif,"['kecewa', 'sama', 'jasa', 'sewa', 'kudanya', 'saya', 'dapat', 'perlakuan', 'body', 'shaming', 'mulai', 'dari', 'mau', 'naik', 'sampai', 'diperjalanan', 'pun', 'hampir', 'semua', 'tukang', 'kuda', 'mengejek', 'dengan', 'bahasa', 'lokal', 'atau', 'bahasa', 'istilah', 'sungguh', 'jadi', 'pengalaman', 'tidak', 'menyenangkan', 'yang']","['kecewa', 'sama', 'jasa', 'sewa', 'kudanya', 'saya', 'dapat', 'perlakuan', 'body', 'shaming', 'mulai', 'dari', 'mau', 'naik', 'sampai', 'diperjalanan', 'pun', 'hampir', 'semua', 'tukang', 'kuda', 'mengejek', 'dengan', 'bahasa', 'lokal', 'atau', 'bahasa', 'istilah', 'sungguh', 'jadi', 'pengalaman', 'tidak', 'menyenangkan', 'yang']","['kecewa', 'jasa', 'sewa', 'kudanya', 'perlakuan', 'body', 'shaming', 'diperjalanan', 'tukang', 'kuda', 'mengejek', 'bahasa', 'lokal', 'bahasa', 'istilah', 'sungguh', 'pengalaman', 'menyenangkan']","['kecewa', 'jasa', 'sewa', 'kudanya', 'perlakuan', 'body', 'shaming', 'diperjalanan', 'tukang', 'kuda', 'mengejek', 'bahasa', 'lokal', 'bahasa', 'istilah', 'sungguh', 'pengalaman', 'menyenangkan']","['kecewa', 'jasa', 'sewa', 'kuda', 'laku', 'body', 'shaming', 'jalan', 'tukang', 'kuda', 'ejek', 'bahasa', 'lokal', 'bahasa', 'istilah', 'sungguh', 'alam', 'senang']"
Uswatun Hasanah,11/01/2023,indah bngt si emang pemandangan di bromo  tp jurangnya wow dlm dlm bngt,positif,"['indah', 'bngt', 'si', 'emang', 'pemandangan', 'di', 'bromo', 'tp', 'jurangnya', 'wow', 'dlm', 'dlm', 'bngt']","['indah', 'bngt', 'si', 'emang', 'pemandangan', 'di', 'bromo', 'tp', 'jurangnya', 'wow', 'dlm', 'dlm', 'bngt']","['indah', 'bngt', 'si', 'emang', 'pemandangan', 'bromo', 'tp', 'jurangnya', 'wow', 'dlm', 'dlm', 'bngt']","['indah', 'bngt', 'si', 'emang', 'pemandangan', 'bromo', 'tp', 'jurangnya', 'wow', 'dlm', 'dlm', 'bngt']","['indah', 'bngt', 'si', 'emang', 'pandang', 'bromo', 'tp', 'jurang', 'wow', 'dlm', 'dlm', 'bngt']"
Dono Pri,11/01/2023,bagus dan unik  ada hamparan pasir dan di atasnya gunung kawah bromo dan gunung batok  ada gunung penanjakan di sebelahnya,positif,"['bagus', 'dan', 'unik', 'ada', 'hamparan', 'pasir', 'dan', 'di', 'atasnya', 'gunung', 'kawah', 'bromo', 'dan', 'gunung', 'batok', 'ada', 'gunung', 'penanjakan', 'di', 'sebelahnya']","['bagus', 'dan', 'unik', 'ada', 'hamparan', 'pasir', 'dan', 'di', 'atasnya', 'gunung', 'kawah', 'bromo', 'dan', 'gunung', 'batok', 'ada', 'gunung', 'penanjakan', 'di', 'sebelahnya']","['bagus', 'unik', 'hamparan', 'pasir', 'atasnya', 'gunung', 'kawah', 'bromo', 'gunung', 'batok', 'gunung', 'penanjakan', 'sebelahnya']","['bagus', 'unik', 'hamparan', 'pasir', 'atasnya', 'gunung', 'kawah', 'bromo', 'gunung', 'batok', 'gunung', 'penanjakan', 'sebelahnya']","['bagus', 'unik', 'hampar', 'pasir', 'atas', 'gunung', 'kawah', 'bromo', 'gunung', 'batok', 'gunung', 'tanjak', 'belah']"
Edy Purnomo,11/01/2023,cantik bgt,positif,"['cantik', 'bgt']","['cantik', 'bgt']","['cantik', 'bgt']","['cantik', 'bgt']","['cantik', 'bgt']"
Gabriele Nonpenso,11/01/2023,pengalaman luar biasa  saya sangat merekomendasikan pakaian ala cortina untuk natal  karena dinginnya menunggu fajar benar benar menggigit  tapi  percayalah  itu adalah salah satu pengalaman yang tidak bisa dilewat  ,positif,"['pengalaman', 'luar', 'biasa', 'saya', 'sangat', 'merekomendasikan', 'pakaian', 'ala', 'cortina', 'untuk', 'natal', 'karena', 'dinginnya', 'menunggu', 'fajar', 'benar', 'benar', 'menggigit', 'tapi', 'percayalah', 'itu', 'adalah', 'salah', 'satu', 'pengalaman', 'yang', 'tidak', 'bisa', 'dilewat']","['pengalaman', 'luar', 'biasa', 'saya', 'sangat', 'merekomendasikan', 'pakaian', 'ala', 'cortina', 'untuk', 'natal', 'karena', 'dinginnya', 'menunggu', 'fajar', 'benar', 'benar', 'menggigit', 'tapi', 'percayalah', 'itu', 'adalah', 'salah', 'satu', 'pengalaman', 'yang', 'tidak', 'bisa', 'dilewat']","['pengalaman', 'merekomendasikan', 'pakaian', 'ala', 'cortina', 'natal', 'dinginnya', 'menunggu', 'fajar', 'menggigit', 'percayalah', 'salah', 'pengalaman', 'dilewat']","['pengalaman', 'merekomendasikan', 'pakaian', 'ala', 'cortina', 'natal', 'dinginnya', 'menunggu', 'fajar', 'menggigit', 'percayalah', 'salah', 'pengalaman', 'dilewat']","['alam', 'rekomendasi', 'pakai', 'ala', 'cortina', 'natal', 'dingin', 'tunggu', 'fajar', 'gigit', 'percaya', 'salah', 'alam', 'lewat']"
William Juan,11/01/2023,gunung yang sangat bagus  begitu naik ke atas awalnya agak sesak dan kedinginan tapi setelah beberapa menit nafas rasanya lancar banget dan agak sedikit hangat,positif,"['gunung', 'yang', 'sangat', 'bagus', 'begitu', 'naik', 'ke', 'atas', 'awalnya', 'agak', 'sesak', 'dan', 'kedinginan', 'tapi', 'setelah', 'beberapa', 'menit', 'nafas', 'rasanya', 'lancar', 'banget', 'dan', 'agak', 'sedikit', 'hangat']","['gunung', 'yang', 'sangat', 'bagus', 'begitu', 'naik', 'ke', 'atas', 'awalnya', 'agak', 'sesak', 'dan', 'kedinginan', 'tapi', 'setelah', 'beberapa', 'menit', 'nafas', 'rasanya', 'lancar', 'banget', 'dan', 'agak', 'sedikit', 'hangat']","['gunung', 'bagus', 'sesak', 'kedinginan', 'menit', 'nafas', 'lancar', 'banget', 'hangat']","['gunung', 'bagus', 'sesak', 'kedinginan', 'menit', 'nafas', 'lancar', 'banget', 'hangat']","['gunung', 'bagus', 'sesak', 'dingin', 'menit', 'nafas', 'lancar', 'banget', 'hangat']"
Aziz Shidqul,11/01/2023,jalanannya ekstrem  harap hati hati  terutama untuk sepeda motor matic,negatif,"['jalanannya', 'ekstrem', 'harap', 'hati', 'hati', 'terutama', 'untuk', 'sepeda', 'motor', 'matic']","['jalanannya', 'ekstrem', 'harap', 'hati', 'hati', 'terutama', 'untuk', 'sepeda', 'motor', 'matic']","['jalanannya', 'ekstrem', 'harap', 'hati', 'hati', 'sepeda', 'motor', 'matic']","['jalanannya', 'ekstrem', 'harap', 'hati', 'hati', 'sepeda', 'motor', 'matic']","['jalan', 'ekstrem', 'harap', 'hati', 'hati', 'sepeda', 'motor', 'matic']"
Susi Susilawati,11/01/2023,jd pengen euy main ke gunung bromo,positif,"['jd', 'pengen', 'euy', 'main', 'ke', 'gunung', 'bromo']","['jd', 'pengen', 'euy', 'main', 'ke', 'gunung', 'bromo']","['jd', 'pengen', 'euy', 'main', 'gunung', 'bromo']","['jd', 'pengen', 'euy', 'main', 'gunung', 'bromo']","['jd', 'ken', 'euy', 'main', 'gunung', 'bromo']"
OsteoFisius,11/01/2023,pemandangan yang indah    dire  ,positif,"['pemandangan', 'yang', 'indah', 'dire']","['pemandangan', 'yang', 'indah', 'dire']","['pemandangan', 'indah', 'dire']","['pemandangan', 'indah', 'dire']","['pandang', 'indah', 'dire']"
Anik Tarwiyah,11/01/2023,pertama kesini   turing motoran ber tuban bromo  alhamdulillah  allahu akbar  subhanah     ,positif,"['pertama', 'kesini', 'turing', 'motoran', 'ber', 'tuban', 'bromo', 'alhamdulillah', 'allahu', 'akbar', 'subhanah']","['pertama', 'kesini', 'turing', 'motoran', 'ber', 'tuban', 'bromo', 'alhamdulillah', 'allahu', 'akbar', 'subhanah']","['kesini', 'turing', 'motoran', 'ber', 'tuban', 'bromo', 'alhamdulillah', 'allahu', 'akbar', 'subhanah']","['kesini', 'turing', 'motoran', 'ber', 'tuban', 'bromo', 'alhamdulillah', 'allahu', 'akbar', 'subhanah']","['kesini', 'turing', 'motor', 'ber', 'tuban', 'bromo', 'alhamdulillah', 'allahu', 'akbar', 'subhanah']"
Linka Style,11/01/2023,sy pikir ga bakal bisa lihat indahnya puncak gunung karna nafas sy pendek saat dijalan tanjakan  ternyata ini terwujud karna bromo bisa di capai menggunakan kendaraan jd dipermudah akses jalan yg bagus indah bgt pokoknya siap bawa jaket tebal klo kesni   ,positif,"['sy', 'pikir', 'ga', 'bakal', 'bisa', 'lihat', 'indahnya', 'puncak', 'gunung', 'karna', 'nafas', 'sy', 'pendek', 'saat', 'dijalan', 'tanjakan', 'ternyata', 'ini', 'terwujud', 'karna', 'bromo', 'bisa', 'di', 'capai', 'menggunakan', 'kendaraan', 'jd', 'dipermudah', 'akses', 'jalan', 'yg', 'bagus', 'indah', 'bgt', 'pokoknya', 'siap', 'bawa', 'jaket', 'tebal', 'klo', 'kesni']","['sy', 'pikir', 'ga', 'bakal', 'bisa', 'lihat', 'indahnya', 'puncak', 'gunung', 'karna', 'nafas', 'sy', 'pendek', 'saat', 'dijalan', 'tanjakan', 'ternyata', 'ini', 'terwujud', 'karna', 'bromo', 'bisa', 'di', 'capai', 'menggunakan', 'kendaraan', 'jd', 'dipermudah', 'akses', 'jalan', 'yg', 'bagus', 'indah', 'bgt', 'pokoknya', 'siap', 'bawa', 'jaket', 'tebal', 'klo', 'kesni']","['sy', 'pikir', 'ga', 'lihat', 'indahnya', 'puncak', 'gunung', 'karna', 'nafas', 'sy', 'pendek', 'dijalan', 'tanjakan', 'terwujud', 'karna', 'bromo', 'capai', 'kendaraan', 'jd', 'dipermudah', 'akses', 'jalan', 'yg', 'bagus', 'indah', 'bgt', 'pokoknya', 'bawa', 'jaket', 'tebal', 'klo', 'kesni']","['sy', 'pikir', 'ga', 'lihat', 'indahnya', 'puncak', 'gunung', 'karna', 'nafas', 'sy', 'pendek', 'dijalan', 'tanjakan', 'terwujud', 'karna', 'bromo', 'capai', 'kendaraan', 'jd', 'dipermudah', 'akses', 'jalan', 'yg', 'bagus', 'indah', 'bgt', 'pokoknya', 'bawa', 'jaket', 'tebal', 'klo', 'kesni']","['sy', 'pikir', 'ga', 'lihat', 'indah', 'puncak', 'gunung', 'karna', 'nafas', 'sy', 'pendek', 'jalan', 'tanjak', 'wujud', 'karna', 'bromo', 'capai', 'kendara', 'jd', 'mudah', 'akses', 'jalan', 'yg', 'bagus', 'indah', 'bgt', 'pokok', 'bawa', 'jaket', 'tebal', 'klo', 'kesni']"
Endang Suminarni Narni,11/01/2023,keindahan alam yang tiada tara ,positif,"['keindahan', 'alam', 'yang', 'tiada', 'tara']","['keindahan', 'alam', 'yang', 'tiada', 'tara']","['keindahan', 'alam', 'tiada', 'tara']","['keindahan', 'alam', 'tiada', 'tara']","['indah', 'alam', 'tiada', 'tara']"
AhNan,11/01/2023,sangat memuaskan dengan paket wisata yang kami gunakan,positif,"['sangat', 'memuaskan', 'dengan', 'paket', 'wisata', 'yang', 'kami', 'gunakan']","['sangat', 'memuaskan', 'dengan', 'paket', 'wisata', 'yang', 'kami', 'gunakan']","['memuaskan', 'paket', 'wisata']","['memuaskan', 'paket', 'wisata']","['muas', 'paket', 'wisata']"
Redi Cahyadi,11/01/2023,area bromo nih  asyiik berswafoto  mantaffff  ,positif,"['area', 'bromo', 'nih', 'asyiik', 'berswafoto', 'mantaffff']","['area', 'bromo', 'nih', 'asyiik', 'berswafoto', 'mantaffff']","['area', 'bromo', 'nih', 'asyiik', 'berswafoto', 'mantaffff']","['area', 'bromo', 'nih', 'asyiik', 'berswafoto', 'mantaffff']","['area', 'bromo', 'nih', 'asyiik', 'berswafoto', 'mantaffff']"
rindu listya,11/01/2023,kalo ke sini mending via agen travel tour lebih murah dibanding langsung datang ke lokasi  nego harga nya susah dan smakin mahal ,positif,"['kalo', 'ke', 'sini', 'mending', 'via', 'agen', 'travel', 'tour', 'lebih', 'murah', 'dibanding', 'langsung', 'datang', 'ke', 'lokasi', 'nego', 'harga', 'nya', 'susah', 'dan', 'smakin', 'mahal']","['kalo', 'ke', 'sini', 'mending', 'via', 'agen', 'travel', 'tour', 'lebih', 'murah', 'dibanding', 'langsung', 'datang', 'ke', 'lokasi', 'nego', 'harga', 'nya', 'susah', 'dan', 'smakin', 'mahal']","['kalo', 'mending', 'via', 'agen', 'travel', 'tour', 'murah', 'dibanding', 'langsung', 'lokasi', 'nego', 'harga', 'nya', 'susah', 'smakin', 'mahal']","['kalo', 'mending', 'via', 'agen', 'travel', 'tour', 'murah', 'dibanding', 'langsung', 'lokasi', 'nego', 'harga', 'nya', 'susah', 'smakin', 'mahal']","['kalo', 'mending', 'via', 'agen', 'travel', 'tour', 'murah', 'banding', 'langsung', 'lokasi', 'nego', 'harga', 'nya', 'susah', 'smakin', 'mahal']"
